id,role,password,firstName,lastName
000000001,Student,HSmith,Henry,Smith
000000002,Student,JDoe,John,Doe
000000003,Teacher,EJohn,Elton,John
000000004,Student,PGriffin,Peter,Griffin
000000005,Student,JBill,Jasmine,Bill
000000006,Student,ABrown,Alice,Brown
000000007,Teacher,MSwift,Michael,Swift
000000008,Student,SJones,Sarah,Jones
000000009,Student,KWhite,Kevin,White
000000010,Student,LGreen,Lisa,Green
000000011,Teacher,BTaylor,Blake,Taylor
000000012,Student,EDavis,Emma,Davis
000000013,Student,RCooper,Ryan,Cooper
000000014,Student,MMorgan,Mia,Morgan
000000015,Teacher,SGomez,Sophia,Gomez
000000016,Student,ADiaz,Alex,Diaz
000000017,Student,SSanchez,Sam,Sanchez
000000018,Student,CMoore,Chris,Moore
000000019,Teacher,KRoberts,Kate,Roberts
000000020,Admin,AJohnson,Alexander,Johnson
